time_s,rtt_ms
0.000000,42.900
0.201895,31.800
0.302871,32.500
0.403325,22.700
0.504059,26.900
0.604747,32.600
0.705686,36.100
0.806331,39.500
0.907198,21.800
1.008212,25.600
1.108994,30.100
1.209811,34.600
1.310392,37.800
1.410870,21.200
1.511541,24.900
1.612252,31.600
1.712712,32.200
1.813093,37.400
1.913701,38.800
2.014315,24.000
2.115165,28.000
2.216138,31.500
2.316666,33.700
2.417380,36.600
2.517846,21.400
2.618638,25.100
2.719704,31.400
2.820086,33.000
2.920916,37.400
3.022274,38.500
3.123096,22.300
3.223608,26.300
3.324631,31.100
3.425235,34.400
3.525992,37.900
3.626434,24.800
3.727129,25.600
3.827658,30.000
3.929124,33.800
4.030026,38.300
4.130425,39.900
4.231371,21.600
4.332043,25.800
4.432534,30.500
4.533508,36.800
4.634333,36.300
4.734855,24.100
4.835289,25.800
4.936299,29.800
5.037517,35.600
5.138100,36.500
5.238944,39.500
5.339595,21.300
5.440077,26.500
5.540943,33.000
5.641618,36.600
5.742222,37.700
5.843209,23.100
5.944175,24.000
6.044722,30.000
6.145515,32.500
6.246498,36.900
6.347163,38.800
6.447895,21.400
6.548418,26.700
6.649279,33.000
6.750197,33.900
6.850896,37.200
6.951437,23.000
7.051973,25.500
7.152743,29.700
7.253445,33.600
7.353989,36.400
7.454577,37.800
7.555033,25.300
7.656272,25.700
7.757089,31.900
7.858220,34.300
7.959057,38.400
8.059601,22.200
8.160054,23.400
8.260412,29.400
8.360860,34.000
8.461519,37.100
8.562134,37.000
8.662796,25.100
8.763636,29.000
8.863976,30.400
8.964728,36.500
9.166108,38.900
9.266569,24.800
9.367936,28.200
9.468848,31.600
9.569473,33.500
9.670152,39.500
9.771066,21.300
9.871730,24.900
9.972614,29.600
10.073088,33.700
10.173498,37.800
10.273913,37.800
10.374855,23.000
10.475736,27.200
10.576279,31.000
10.676873,34.400
10.777465,38.000
10.878442,21.900
10.979286,24.300
11.080494,30.100
11.181176,33.500
11.281876,37.100
11.382722,39.800
11.483241,23.000
11.583765,28.400
11.684651,28.600
11.785305,34.200
11.886335,38.700
11.987168,23.900
12.087760,24.200
12.188595,30.000
12.289501,32.200
12.389969,36.500
12.490651,39.500
12.591611,21.000
12.692121,28.000
12.792773,30.100
12.893878,33.400
12.994557,36.000
13.095552,23.300
13.196026,26.300
13.296725,29.800
13.397790,32.900
13.498491,38.600
13.700383,26.000
13.801230,23.800
13.901889,31.300
14.002592,32.300
14.103080,38.300
14.203480,22.800
14.303994,25.700
14.404676,31.700
14.505491,31.900
14.606010,36.300
14.706876,40.000
14.807590,21.600
14.908104,27.400
15.008619,29.800
15.109165,35.500
15.210438,37.000
15.311142,22.600
15.412879,25.900
15.513478,29.900
15.614408,32.900
15.714904,36.500
15.815668,22.500
15.916373,23.300
16.016792,28.300
16.117346,32.600
16.218822,37.200
16.319674,39.700
16.420957,22.100
16.522095,24.300
16.622859,30.600
16.724293,33.600
16.824999,36.700
16.925735,21.700
17.027090,25.600
17.128267,31.200
17.229005,33.800
17.329788,34.500
17.430207,40.100
17.530830,23.500
17.631454,26.900
17.732148,30.800
17.833231,34.500
17.934255,36.800
18.035060,21.100
18.135811,27.100
18.236589,30.200
18.337080,33.200
18.438485,37.200
18.539094,39.500
18.639748,22.200
18.740617,27.000
18.841711,31.000
18.942398,35.200
19.043819,37.400
19.144192,22.100
19.244933,26.600
19.345767,29.300
19.446315,32.700
19.546689,37.700
19.748877,21.700
19.849657,26.400
19.950124,28.700
20.051575,35.100
20.152026,38.200
20.252505,21.300
20.353281,24.000
20.454269,29.500
20.554739,31.600
20.655652,38.600
20.756081,39.900
20.856567,22.400
20.956944,27.100
21.057374,32.100
21.158199,36.400
21.259091,37.100
21.359620,21.800
21.460376,25.000
21.560824,32.000
21.662180,34.400
21.762606,38.100
21.963997,23.300
22.064751,27.600
22.165378,30.300
22.266073,34.000
22.366533,37.800
22.467059,22.100
22.567776,24.300
22.668557,30.500
22.770003,34.400
22.870477,36.900
22.971085,39.100
23.071582,22.100
23.171949,27.800
23.272634,30.300
23.373327,35.400
23.474051,37.200
23.574607,24.400
23.676034,25.400
23.776544,29.700
23.877403,34.200
23.978262,37.900
24.078785,39.900
24.179217,21.900
24.280009,26.200
24.381044,31.000
24.482254,35.600
24.582914,38.600
24.683704,21.000
24.784212,22.500
24.885020,28.700
24.985857,32.400
25.086700,38.400
25.187319,40.900
25.287838,22.900
25.388548,27.100
25.489840,30.800
25.590333,36.200
25.791930,38.000
25.892748,23.200
25.993580,25.100
26.094173,31.200
26.194917,34.700
26.295492,38.600
26.396325,23.200
26.496891,25.500
26.597476,31.200
26.697868,32.500
26.798418,36.800
26.899567,40.700
27.000218,22.400
27.101577,25.500
27.202312,29.800
27.302758,35.600
27.504241,40.100
27.605124,25.100
27.705967,25.800
27.806937,32.600
27.908172,35.600
28.008755,39.200
28.109856,21.600
28.211066,25.500
28.311626,31.000
28.412326,34.000
28.512877,38.200
28.613279,40.100
28.714084,24.600
28.814597,24.200
28.915386,30.100
29.016110,33.700
29.217087,21.700
29.317662,25.900
29.418368,27.700
29.519386,32.500
29.619816,36.500
29.720638,39.400
29.821639,22.900
29.922287,23.500
30.023152,30.500
30.123865,35.600
30.224373,35.500
30.325154,39.500
30.426461,21.200
30.526976,26.500
30.627743,32.100
30.728297,34.400
30.929689,38.400
31.030110,27.200
31.130904,25.800
31.231620,31.100
31.332827,34.200
31.433411,37.300
31.533939,22.800
31.634775,23.100
31.735453,29.900
31.836311,32.700
31.937159,38.700
32.037723,38.600
32.138602,24.200
32.239953,25.500
32.340750,31.500
32.441533,34.700
32.542099,39.300
32.643079,22.200
32.743721,23.700
32.844418,30.100
32.945824,34.000
33.046368,36.500
33.146864,40.600
33.248136,25.500
33.348802,24.900
33.449349,30.800
33.550277,33.400
33.651027,37.400
33.751508,21.700
33.852253,24.300
33.952910,30.600
34.054200,35.100
34.154794,37.100
34.355842,21.300
34.456836,25.100
34.557373,31.100
34.658464,34.400
34.759038,38.800
34.859905,22.400
34.960653,24.600
35.061373,30.500
35.161953,32.700
35.262664,37.600
35.363296,38.700
35.464163,24.400
35.564815,27.900
35.665241,31.600
35.766156,35.500
35.866838,38.600
35.967231,21.800
36.068166,26.100
36.169249,30.000
36.270206,35.100
36.370802,40.700
36.471542,38.800
36.572289,24.600
36.672839,28.300
36.773447,32.200
36.874165,34.900
36.974666,40.700
37.075267,22.900
37.175622,24.300
37.276082,31.200
37.377416,33.600
37.478036,36.800
37.578470,39.800
37.679025,26.800
37.779739,26.800
37.880142,32.600
37.980555,34.800
38.081180,38.600
38.181979,22.700
38.282883,27.100
38.383417,31.000
38.483848,34.700
38.584380,37.600
38.785598,23.800
38.886122,28.000
38.987081,31.300
39.088027,33.700
39.289755,40.200
39.390198,23.500
39.490932,27.300
39.591734,31.400
39.692466,34.100
39.792954,38.100
39.893682,21.800
39.994429,23.900
40.095065,29.400
40.195483,33.800
40.295894,37.800
40.396636,40.000
40.497949,24.500
40.598866,28.900
40.699519,32.600
40.800461,34.300
40.901382,38.300
41.001787,21.500
41.102470,27.000
41.202867,30.100
41.303363,31.700
41.403958,34.700
41.504760,39.800
41.606276,22.100
41.706794,26.000
41.807609,29.800
41.908220,34.000
42.009129,36.800
42.109911,23.700
42.210825,25.800
42.311214,30.200
42.411889,33.100
42.512360,36.700
42.613513,39.200
42.714513,21.200
42.815683,24.500
42.916393,30.800
43.017056,32.200
43.117893,38.000
43.218724,22.500
43.319197,26.100
43.419869,29.900
43.520922,32.800
43.621848,40.100
43.722589,21.900
43.822982,25.000
43.923492,30.900
44.024106,32.400
44.124629,36.100
44.225784,40.000
44.326335,22.500
44.427197,24.400
44.527871,30.600
44.628207,36.300
44.729130,37.000
44.829981,21.700
44.930931,25.600
45.031540,29.100
45.132222,32.300
45.232989,37.500
45.434498,22.300
45.535380,26.900
45.635923,29.600
45.736711,34.200
45.837397,36.600
45.938214,22.100
46.038688,27.100
46.139850,30.200
46.240503,33.300
46.341986,36.600
46.442439,39.800
46.543224,22.800
46.644669,25.800
46.745250,32.500
46.846226,37.200
46.946680,38.000
47.047131,20.800
47.147509,26.400
47.248110,30.100
47.348769,34.000
47.449524,36.100
47.551179,38.200
47.652403,21.800
47.753345,24.800
47.853707,31.600
47.954594,35.000
48.055130,36.700
48.156209,22.700
48.257095,25.000
48.357941,30.100
48.458653,32.500
48.559801,38.200
48.761191,21.200
48.861814,25.900
48.962370,31.700
49.062838,35.800
49.163700,37.800
49.264365,24.200
49.365259,25.100
49.465899,31.000
49.566616,34.800
49.667785,39.600
49.768760,39.400
49.870077,22.800
49.970698,27.400
50.071622,30.900
50.172321,34.400
50.474198,21.600
50.574683,27.500
50.675441,31.800
50.776676,33.200
50.877477,37.700
50.977976,25.000
51.078690,24.500
51.179943,30.600
51.280434,34.200
51.381081,36.600
51.481956,40.400
51.582863,22.100
51.683730,27.500
51.785036,30.700
51.885483,36.300
52.187590,22.500
52.288244,26.400
52.388745,31.800
52.489326,35.200
52.590167,37.500
52.690776,24.300
52.791553,24.200
52.892102,31.000
52.992604,35.800
53.093455,37.100
53.194265,39.000
53.294752,23.000
53.395227,27.000
53.497104,31.200
53.598091,35.800
53.698667,38.600
53.799620,21.900
53.900504,25.400
54.001201,30.600
54.102070,36.000
54.202621,39.000
54.303041,38.400
54.403767,22.600
54.505160,25.900
54.606076,31.900
54.706682,35.100
54.807167,37.500
54.907680,21.700
55.008410,23.100
55.109239,28.400
55.210117,34.600
55.310551,35.700
55.512139,22.600
55.612503,27.100
55.713245,32.800
55.814154,36.200
55.914938,39.500
56.015375,21.300
56.115940,25.500
56.217196,30.300
56.317957,35.500
56.418673,37.700
56.519225,39.700
56.619841,23.300
56.720441,25.500
56.820998,32.300
56.921973,34.800
57.022760,38.200
57.123881,21.100
57.224379,25.800
57.324981,30.000
57.426321,33.700
57.527302,35.600
57.627735,38.600
57.728985,27.500
57.829695,25.800
57.930582,31.600
58.031917,34.000
58.132548,38.700
58.233235,21.600
58.333998,24.600
58.434598,30.400
58.535271,34.100
58.636127,36.700
58.736554,40.500
58.838046,24.900
58.938465,26.100
59.039077,31.900
59.140045,35.400
59.240651,38.600
59.341654,20.900
59.442512,24.300
59.543107,31.500
59.643671,33.700
59.744550,36.000
59.845176,40.500
59.945529,23.100
